Date,Name,Year,Letterboxd URI,Rating
2026-01-27,Thalaivar Thambi Thalaimaiyil,2026,https://boxd.it/wMLs,3.5
2026-02-01,Sarvam Maya,2025,https://boxd.it/UEUa,3.5
2026-02-14,Dhurandhar,2025,https://boxd.it/NhCI,3
2026-03-01,Hamnet,2025,https://boxd.it/woVy,3.5
2026-03-07,One Battle After Another,2025,https://boxd.it/DUHM,3.5
2026-03-08,With Love,2026,https://boxd.it/W6Rq,3
2026-03-08,Train Dreams,2025,https://boxd.it/LdDo,4
2026-03-09,"Sorry, Baby",2025,https://boxd.it/JKNi,4
2026-03-22,The Secret Agent,2025,https://boxd.it/KkUE,3.5
2026-03-22,Tremors,1990,https://boxd.it/1YSe,3.5
2026-04-06,Oru Jaathi Jaathakam,2025,https://boxd.it/HuJA,3
2026-04-25,Ohm Shanthi Oshaana,2014,https://boxd.it/7AF8,3.5
2026-04-27,Bangalore Days,2014,https://boxd.it/82ZA,3.5
2026-04-27,Mumbai Police,2013,https://boxd.it/5LJQ,3.5
2026-05-06,Kedi Billa Killadi Ranga,2013,https://boxd.it/5uHS,2.5
2026-05-06,Sunny,2011,https://boxd.it/2FoG,3.5
2026-05-06,Contact,1997,https://boxd.it/29OM,4
2026-05-17,Love Insurance Kompany,2026,https://boxd.it/JTYO,2
2026-05-17,The Matrix,1999,https://boxd.it/2a1m,4
2026-05-17,Karuppu,2026,https://boxd.it/QE3M,2.5
2026-05-24,Whisper of the Heart,1995,https://boxd.it/17uy,3.5
2026-05-24,Gifted,2017,https://boxd.it/e5dG,3
2026-05-24,I Saw the Devil,2010,https://boxd.it/FaK,3.5
2026-05-25,Aftersun,2022,https://boxd.it/Arw0,4
2026-06-01,Kara,2026,https://boxd.it/T1NW,3
2026-06-01,Blast,2026,https://boxd.it/WpcG,3.5
2026-06-08,The Motorcycle Diaries,2004,https://boxd.it/28nU,4
2026-06-08,Thattathin Marayathu,2012,https://boxd.it/3YPo,3.5
2026-06-29,29,2026,https://boxd.it/Wcjk,3
