Date,Name,Year,Letterboxd URI
2022-02-25,Nightcrawler,2014,https://boxd.it/780m
2022-02-25,Mirage,2018,https://boxd.it/jeOm
2022-02-27,Her,2013,https://boxd.it/4O24
2022-02-27,The 5th Wave,2016,https://boxd.it/9wbi
2022-02-27,Spotlight,2015,https://boxd.it/a84k
2022-02-27,AK vs AK,2020,https://boxd.it/rBZ4
2022-03-06,Groundhog Day,1993,https://boxd.it/2b3e
2022-03-09,The Lost Daughter,2021,https://boxd.it/kgww
2022-03-13,FIR,2022,https://boxd.it/oQ3S
2022-03-15,Venom,2018,https://boxd.it/b8wA
2022-03-18,Titanic,1997,https://boxd.it/2a2k
2022-03-19,Cashback,2006,https://boxd.it/1Sf6
2022-03-20,Raat Akeli Hai,2020,https://boxd.it/lHSc
2022-03-22,The Dreamers,2003,https://boxd.it/28X4
2022-03-22,Basic Instinct,1992,https://boxd.it/2asM
2022-03-26,83,2021,https://boxd.it/mbBg
2022-03-29,Licorice Pizza,2021,https://boxd.it/qTKY
2022-04-02,Oldboy,2003,https://boxd.it/29R2
2022-04-03,Interstellar,2014,https://boxd.it/4VZ8
2022-04-03,A Beautiful Mind,2001,https://boxd.it/2amk
2022-04-07,Drive My Car,2021,https://boxd.it/sv94
2022-04-10,American Beauty,1999,https://boxd.it/71Y
2022-04-11,CODA,2021,https://boxd.it/tbf4
2022-04-11,Drive,2011,https://boxd.it/IG
2022-04-11,The Gift,2015,https://boxd.it/aJMy
2022-04-13,Source Code,2011,https://boxd.it/fdo
2022-04-15,Silenced,2011,https://boxd.it/2QGG
2022-04-16,Boyhood,2014,https://boxd.it/3178
2022-04-17,Whiplash,2014,https://boxd.it/7bQA
2022-05-08,Saving Private Ryan,1998,https://boxd.it/29ro
2022-05-16,K.G.F: Chapter 2,2022,https://boxd.it/lCgM
2022-05-16,Don,2022,https://boxd.it/xOoC
2022-06-17,The 40 Year Old Virgin,2005,https://boxd.it/21hK
2022-06-17,12 Years a Slave,2013,https://boxd.it/2D2e
2022-06-17,Forrest Gump,1994,https://boxd.it/728
2022-07-02,Titane,2021,https://boxd.it/nlQC
2022-07-03,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G
2022-07-04,Punch-Drunk Love,2002,https://boxd.it/20E4
2022-07-06,Enemy,2013,https://boxd.it/5xtO
2022-07-07,Mulholland Drive,2001,https://boxd.it/297o
2022-07-08,The Lobster,2015,https://boxd.it/7tnw
2022-07-08,The Mist,2007,https://boxd.it/22r2
2022-07-09,Kaathuvaakula Rendu Kaadhal,2022,https://boxd.it/sgG8
2022-07-15,Arrival,2016,https://boxd.it/aNGk
2022-07-15,The Darjeeling Limited,2007,https://boxd.it/24as
2022-07-17,Raw,2016,https://boxd.it/dLd2
2022-07-21,Unstoppable,2010,https://boxd.it/SVO
2022-07-27,Rocketry: The Nambi Effect,2022,https://boxd.it/mqrq
2022-07-30,Climax,2018,https://boxd.it/ikvo
2022-07-31,Election,1999,https://boxd.it/1YEc
2022-08-01,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk
2022-08-19,The Martian,2015,https://boxd.it/8SeG
2022-08-19,3-Iron,2004,https://boxd.it/28WK
2022-08-21,Pi,1998,https://boxd.it/2ajq
2022-09-01,American Psycho,2000,https://boxd.it/28Vs
2022-09-03,Thiruchitrambalam,2022,https://boxd.it/wptK
2022-09-04,Gulu Gulu,2022,https://boxd.it/AyUS
2022-09-18,D Block,2022,https://boxd.it/wGv4
2022-09-27,Bullet Train,2022,https://boxd.it/qW26
2022-09-28,Vendhu Thanindhathu Kaadu,2022,https://boxd.it/u8ki
2022-10-02,Cobra,2022,https://boxd.it/tPXq
2022-10-02,Malena,2000,https://boxd.it/1Vc0
2022-10-02,Naane Varuvean,2022,https://boxd.it/txW0
2022-10-03,The Worst Person in the World,2021,https://boxd.it/oyws
2022-10-04,X+Y,2014,https://boxd.it/8uC0
2022-10-05,Ponniyin Selvan: Part I,2022,https://boxd.it/oz24
2022-10-09,One Cut of the Dead,2017,https://boxd.it/iAFu
2022-10-09,Dogtooth,2009,https://boxd.it/158K
2022-10-14,The Bow,2005,https://boxd.it/27Ky
2022-10-14,Speak No Evil,2022,https://boxd.it/vqlg
2022-10-16,Sita Ramam,2022,https://boxd.it/xO2c
2022-10-19,[REC],2007,https://boxd.it/20ma
2022-10-30,Babel,2006,https://boxd.it/292o
2022-11-10,Collateral,2004,https://boxd.it/28F0
2022-11-13,Sardar,2022,https://boxd.it/wpuI
2022-11-18,Prey,2022,https://boxd.it/sNBU
2022-11-19,Love Today,2022,https://boxd.it/D3KI
2022-11-20,Good Will Hunting,1997,https://boxd.it/2ahY
2022-11-22,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2022-11-23,Silver Linings Playbook,2012,https://boxd.it/2TTo
2022-11-29,Natchathiram Nagargiradhu,2022,https://boxd.it/wkx8
2022-11-30,Donnie Darko,2001,https://boxd.it/2b2A
2022-12-01,Nope,2022,https://boxd.it/sDCe
2022-12-01,127 Hours,2010,https://boxd.it/SLa
2022-12-09,The Autopsy of Jane Doe,2016,https://boxd.it/dUu2
