source,date,year,title,letterboxd_uri,rating,rewatch,review,tags,watched_date,content,comment
diary,2022-12-10,2022,Castaway on the Moon,https://boxd.it/3vT7wr,3.5,,,,2022-12-09,,
ratings,2022-12-10,2022,Castaway on the Moon,https://boxd.it/1GXU,3.5,,,,,,
diary,2022-12-12,2022,The Secret Life of Walter Mitty,https://boxd.it/3wAhCl,3.5,,,,2022-12-12,,
ratings,2022-12-12,2022,The Secret Life of Walter Mitty,https://boxd.it/3SWy,3.5,,,,,,
diary,2022-12-13,2022,Before Sunrise,https://boxd.it/3wDh9z,3.5,,,,2022-12-12,,
ratings,2022-12-13,2022,Before Sunrise,https://boxd.it/2bcU,3.5,,,,,,
diary,2022-12-17,2022,Parched,https://boxd.it/3xsbg7,3.5,,,,2022-12-16,,
diary,2022-12-17,2022,Avatar,https://boxd.it/3xvLnp,3,Yes,,,2022-12-17,,
diary,2022-12-17,2022,Avatar: The Way of Water,https://boxd.it/3xFvCj,3,,,,2022-12-17,,
ratings,2022-12-17,2022,Parched,https://boxd.it/bQii,3.5,,,,,,
ratings,2022-12-17,2022,Avatar,https://boxd.it/1Efm,3,,,,,,
ratings,2022-12-17,2022,Avatar: The Way of Water,https://boxd.it/2E2E,3,,,,,,
diary,2022-12-18,2022,The Florida Project,https://boxd.it/3xK0ON,3.5,,,,2022-12-17,,
ratings,2022-12-18,2022,The Florida Project,https://boxd.it/dMG0,3.5,,,,,,
diary,2022-12-21,2022,11:14,https://boxd.it/3yz3Y9,3.5,,,,2022-12-20,,
ratings,2022-12-21,2022,11:14,https://boxd.it/1Z4E,3.5,,,,,,
diary,2022-12-23,2022,Spider-Man: Into the Spider-Verse,https://boxd.it/3z5PwL,3.5,,,,2022-12-22,,
ratings,2022-12-23,2022,Spider-Man: Into the Spider-Verse,https://boxd.it/azpY,3.5,,,,,,
diary,2022-12-25,2022,Fresh,https://boxd.it/3zXkPP,3.5,,,,2022-12-25,,
ratings,2022-12-25,2022,Fresh,https://boxd.it/tCNi,3.5,,,,,,
diary,2022-12-26,2022,La La Land,https://boxd.it/3zY9Wx,3.5,,,,2022-12-25,,
diary,2022-12-26,2022,In Bruges,https://boxd.it/3A0zjb,4,,,,2022-12-25,,
diary,2022-12-26,2022,"Three Billboards Outside Ebbing, Missouri",https://boxd.it/3A2HYZ,3.5,,,,2022-12-25,,
ratings,2022-12-26,2022,La La Land,https://boxd.it/a5fa,3.5,,,,,,
ratings,2022-12-26,2022,In Bruges,https://boxd.it/20n8,4,,,,,,
ratings,2022-12-26,2022,"Three Billboards Outside Ebbing, Missouri",https://boxd.it/ceBS,3.5,,,,,,
diary,2022-12-27,2022,The Boy in the Striped Pyjamas,https://boxd.it/3ApQkP,3.5,,,,2022-12-26,,
ratings,2022-12-27,2022,The Boy in the Striped Pyjamas,https://boxd.it/1NOK,3.5,,,,,,
diary,2022-12-30,2022,The Girl with a Bracelet,https://boxd.it/3ByfOF,3.5,,,,2022-12-29,,
diary,2022-12-30,2022,Predator,https://boxd.it/3BSkRJ,4,,,,2022-12-30,,
ratings,2022-12-30,2022,The Girl with a Bracelet,https://boxd.it/lqS0,3.5,,,,,,
ratings,2022-12-30,2022,Predator,https://boxd.it/2b84,4,,,,,,
diary,2022-12-31,2022,The Royal Tenenbaums,https://boxd.it/3BUIEX,4,,,,2022-12-30,,
diary,2022-12-31,2022,Scott Pilgrim vs. the World,https://boxd.it/3Ch6y9,4,,,,2022-12-31,,
ratings,2022-12-31,2022,The Royal Tenenbaums,https://boxd.it/1YHU,4,,,,,,
ratings,2022-12-31,2022,Scott Pilgrim vs. the World,https://boxd.it/1Aq6,4,,,,,,
diary,2023-01-01,2023,Begin Again,https://boxd.it/3Cj651,3.5,,,,2022-12-31,,
ratings,2023-01-01,2023,Begin Again,https://boxd.it/5Ybs,3.5,,,,,,
diary,2023-01-02,2023,A Hero,https://boxd.it/3CHbIP,3.5,,,,2023-01-01,,
diary,2023-01-02,2023,(500) Days of Summer,https://boxd.it/3D4W6z,3.5,,,,2023-01-02,,
ratings,2023-01-02,2023,A Hero,https://boxd.it/p2zw,3.5,,,,,,
ratings,2023-01-02,2023,(500) Days of Summer,https://boxd.it/1EmM,3.5,,,,,,
diary,2023-01-03,2023,Friends with Benefits,https://boxd.it/3Dp92l,2.5,,,,2023-01-03,,
ratings,2023-01-03,2023,Friends with Benefits,https://boxd.it/DoK,2.5,,,,,,
diary,2023-01-04,2023,The Menu,https://boxd.it/3DU2MN,3.5,,,,2023-01-04,,
ratings,2023-01-04,2023,The Menu,https://boxd.it/lScm,3.5,,,,,,
diary,2023-01-05,2023,Miracle Mile,https://boxd.it/3DZRlt,3.5,,,,2023-01-04,,
diary,2023-01-05,2023,Chennai 600028,https://boxd.it/3Ek0XL,4,Yes,,,2023-01-05,,
ratings,2023-01-05,2023,Miracle Mile,https://boxd.it/1x68,3.5,,,,,,
ratings,2023-01-05,2023,Chennai 600028,https://boxd.it/2EDA,4,,,,,,
diary,2023-01-08,2023,Triangle of Sadness,https://boxd.it/3F98nN,3.5,,,,2023-01-07,,
diary,2023-01-08,2023,Lady Bird,https://boxd.it/3FahpF,4,,,,2023-01-07,,
diary,2023-01-08,2023,Me and Earl and the Dying Girl,https://boxd.it/3FvYRf,4,,,,2023-01-08,,
diary,2023-01-08,2023,Sound of Metal,https://boxd.it/3FyW2v,4,,,,2023-01-08,,
ratings,2023-01-08,2023,Triangle of Sadness,https://boxd.it/hXlq,3.5,,,,,,
ratings,2023-01-08,2023,Lady Bird,https://boxd.it/dGNE,4,,,,,,
ratings,2023-01-08,2023,Me and Earl and the Dying Girl,https://boxd.it/9SAE,4,,,,,,
ratings,2023-01-08,2023,Sound of Metal,https://boxd.it/i7Q4,4,,,,,,
diary,2023-01-10,2023,Four Lions,https://boxd.it/3GiVuZ,3.5,,,,2023-01-10,,
diary,2023-01-10,2023,Incendies,https://boxd.it/3Gl4bL,4,,,,2023-01-10,,
ratings,2023-01-10,2023,Four Lions,https://boxd.it/18do,3.5,,,,,,
ratings,2023-01-10,2023,Incendies,https://boxd.it/Msm,4,,,,,,
diary,2023-01-11,2023,Sicario,https://boxd.it/3Go75H,3,,,,2023-01-10,,
diary,2023-01-11,2023,Phantom Thread,https://boxd.it/3GDRmT,4,,,,2023-01-11,,
diary,2023-01-11,2023,Jaws,https://boxd.it/3GFZsp,4.5,,,,2023-01-11,,
ratings,2023-01-11,2023,Sicario,https://boxd.it/8i7u,3,,,,,,
ratings,2023-01-11,2023,Phantom Thread,https://boxd.it/e4uc,4,,,,,,
ratings,2023-01-11,2023,Jaws,https://boxd.it/2a5e,4.5,,,,,,
diary,2023-01-12,2023,Everything Everywhere All at Once,https://boxd.it/3GZkpf,4,,,,2023-01-12,,
ratings,2023-01-12,2023,Everything Everywhere All at Once,https://boxd.it/jUk4,4,,,,,,
diary,2023-01-13,2023,Searching,https://boxd.it/3H22eT,3.5,,,,2023-01-12,,
diary,2023-01-13,2023,Kiss Kiss Bang Bang,https://boxd.it/3HfShr,4,,,,2023-01-13,,
diary,2023-01-13,2023,Get Out,https://boxd.it/3Hhwax,3.5,,,,2023-01-13,,
