Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-07-31,Made in Heaven,2019,,4,,Every person is good as well as shit in this series,,2023-07-29
2025-01-13,Kohrra,2023,,3.5,,Genuine Netflix indian series,,2025-01-12
